mainTitle_잡지,level1id,counts
대한자강회월보,ma_001,3666
대한협회회보,ma_002,4758
서우,ma_003,4917
서북학회월보,ma_004,8011
기호흥학회월보,ma_005,4951
대조선독립협회회보,ma_006,1664
태극학보,ma_007,6579
호남학보,ma_008,2446
대한학회월보,ma_009,3098
대한유학생회학보,ma_010,1359
대한흥학보,ma_011,4180
대동학회월보,ma_012,4857
개벽,ma_013,111462
동광,ma_014,64964
별건곤,ma_015,96485
삼천리,ma_016,185821
삼천리문학,ma_018,6178
만국부인,ma_019,1412
경무휘보,ma_020,4006
문교의 조선,ma_021,2090
사상월보,ma_022,363
사상휘보,ma_023,549
조선,ma_024,3900
조선급만주,ma_025,7767
조선의교육연구,ma_026,3874
조선총독부월보,ma_027,1075
조선총독부조사월보,ma_028,1467
조선행정,ma_029,1097
조선휘보,ma_030,2037
교남교육회잡지,ma_048,320
공제,ma_061,138
근우,ma_062,38
농민,ma_063,865
대중,ma_064,101
대중공론,ma_065,265
동명,ma_066,973
동방평론,ma_067,70
반도시론,ma_068,720
사상운동,ma_069,115
사해공론,ma_070,933
산업계,ma_071,124
서광,ma_072,198
서울,ma_073,170
시사평론,ma_074,227
신계단,ma_075,268
신문계,ma_076,1166
신민,ma_077,1662
신조선,ma_078,190
신흥,ma_079,142
신흥과학,ma_080,14
아성,ma_081,100
여자계,ma_082,119
여자시론,ma_083,20
우라키,ma_084,165
이론투쟁,ma_085,23
제일선,ma_086,464
조선농민,ma_087,645
쩌날리즘,ma_088,25
철필,ma_089,106
청년조선,ma_090,38
학지광,ma_091,416
현계단,ma_092,31
현대평론,ma_093,297
혜성,ma_094,589
호남평론,ma_095,711
